"fid","place_birth_lat","place_birth_lon","place_birth","place_death_lat","place_death_lon","place_death"
"GHYM-8QB","52.7117","-2.7498","Shrewsbury Abbey, Shropshire, England","52.35","-0.85","Northamptonshire, England"
"L8RS-4CV","52.61359","-2.85361","Castle-Pulverbatch, Shropshire, England","53.95871","-2.01505","Craven District, North Yorkshire, England"
"2X97-1JP","50.69852","-3.15237","Branscombe, Devon, England",NA,NA,NA
"M4GF-Y95","51.92189","-3.05848","Abergavenny, Monmouthshire, Wales","50.69852","-3.15237","Branscombe, Devon, England"
"GXML-H8Q","50.25116","-5.06676","Cornwall, England","50.25116","-5.06676","Cornwall, England"
"LVLK-K8X","50.25116","-5.06676","Cornwall, England","50.25116","-5.06676","Fentongallan, , Cornwall, England"
"G4BW-4B8","50.25116","-5.06676","Trethurfe, Cornwall, England","50.2172","-4.9853","Philleigh, Cornwall, England"
"G8DT-DN3","50.5163","-3.5546","Haccombe, Devon, England","50.5163","-3.5546","Haccombe, Devon, England"
"G9RX-RTV","51.1178","-4.004","Shirwell, Devon, England","50.5163","-3.5546","Haccombe, Devon, England"
"GC77-4R5","50.3302","-4.815","Trenoweth Manor, Trenoweth, St. Mewan, Cornwall, England","50.3856","-4.6528","St. Winnow, Cornwall, England"
"GWSQ-K88","50.28333","-3.76667","Kingsbridge, Devon, England","50.25116","-5.06676","Tresolyth, Cornwall, England"
"GL1F-KZQ",NA,NA,NA,NA,NA,NA
"GL1F-FXD",NA,NA,NA,NA,NA,NA
"GQ25-WLJ","52.4379","-1.6496","England","52.4379","-1.6496","England"
"GHBH-335","53.3237","-2.1357","Adlington, Cheshire, England, United Kingdom",NA,NA,NA
"L15B-BL2","53.4","-2.21667","Cheadle, Stockport, Cheshire, England","52.4379","-1.6496","England"
"LKQR-55Z","53.1008","-2.3951","Haslington, Cheshire, England","53.18268","-2.53046","Cheshire, England"
"LKQR-5B6","53.38183","-2.80364","Tarbock, Lancashire, England",NA,NA,NA
"K2SY-QHC","52.4379","-1.6496","England","52.4379","-1.6496","England"
"L5RJ-TB4","53.18268","-2.53046","Cheshire, England","52.4379","-1.6496","England"
"LC6P-R3K","52.4379","-1.6496","England","51.4485","-0.9912","Southcote, Berkshire, England"
"GGXG-DYY","53.2629","-2.3233","Over Peover, Cheshire, England","53.2629","-2.3233","Over Peover, Cheshire, England"
"GGFR-V34","53.18268","-2.53046",", Cheshire, , England","53.2629","-2.3233","Over Peover, Cheshire, England"
"L9GZ-T4S","52.9253","-1.577","Radbourne, Derbyshire, England","52.9253","-1.577","Radbourne, Derbyshire, England"
"L9GZ-TS7","53.28333","-2.5","Hulme, Cheshire, England","52.9255","-1.5778","Radbourne, Derbyshire, England"
"G22L-CWQ","53.3502","-3.1313","Thurstaston, Cheshire, England","53.3502","-3.1313","Thurstaston, Cheshire, England"
"GCZR-W5B","52.77951","-1.91711","Thurstan, Staffordshire, England","52.9667","-2.2833","Whitmore, Staffordshire, England"
"94NW-L46","53.31394","-2.7161","Clifton, Chester, England","53.31394","-2.7161","Clifton, Cheshire, England"
"9CNQ-1DV","52.91667","-2.21667","Swynnerton, Staffordshire, Engeland, Verenigd Koninkrijk","53.31394","-2.7161","Clifton, Cheshire, England"
"G6TZ-8L3","57.56667","-3.6","Altyre House, Morayshire, Scotland, United Kingdom","57.4167","-3.25","Morayshire, Scotland, United Kingdom"
"KVGS-S8Z","57.2055","-2.5169","Cluny, Aberdeenshire, Scotland, United Kingdom","57.25","-2.45","Aberdeenshire, Scotland, United Kingdom"
"LCPH-J86","56.06667","-3.86667","Cowie, Stirlingshire, Scotland","56.81674","-4.18396","Scotland"
"L8MG-2WL","55.55","-3.85","Douglas, Lanarkshire, Scotland","56.81674","-4.18396","Scotland"
"GVBD-S2W","57.1582","-2.5279","Midmar, Aberdeenshire, Scotland","57.15081","-2.09477","Aberdeenshire, Scotland"
"G2VX-GTD","57.15081","-2.09477","Aberdeenshire, Scotland","57.15081","-2.09477","Aberdeenshire, Scotland"
