"fid","ascendancy"
"M1SQ-82G",1291313
"MSW4-82D",1291314
"9CWK-SGD",1291315
"G66K-4V1",1291316
"GLZK-715",1291317
"LCCQ-44Y",1291796
"LRCW-WWQ",1291797
"LBW8-RNP",1291798
"LBZL-QLJ",1291799
"LWXS-8H3",1291812
"G3WH-9MY",1291813
"LTGM-QS1",1291814
"LY1Q-KD7",1291815
"LB9H-Z78",1291816
"GKKD-FGP",1291817
"GS83-8B2",1291820
"GS83-WS5",1291821
"KLQM-TGY",1291822
"GS8D-GV8",1291824
"MDXN-ZFX",1291825
"G4DM-K53",1291826
"GHHB-BXB",1291834
"G61Z-V9F",1291835
"LRZ3-LCS",1291840
"9SXH-QXD",1291841
"L1QM-18P",1291842
"LZD9-CXC",1291843
"MSFY-GWB",1291844
"GFYG-NFX",1291845
"LB2W-1BV",1291846
"G9KS-LLJ",1291847
"LD7D-GZN",1291848
"LYRV-6RF",1291849
"KHTQ-2T8",1291852
"KZ7D-DF8",1291853
"LTP9-ST7",1291854
"LCXY-22G",1291855
"9HT5-F68",1291856
"LVQC-P1R",1291857
"KPSG-CNQ",1291858
"LZD8-9M2",1291859
"LB3Q-Y1P",1291860
"LY3H-8GL",1291861
"LWJB-HM5",1291862
"M636-BFC",1291863
"LZ2C-ZDP",1291864
"L5ZD-7ZC",1291865
"KLG2-8D4",1291866
"MDM3-1X7",1291867
"GZTN-S3J",1291868
"G8D1-KB4",1291869
"GDF1-SYH",1291870
"GF14-VXD",1291871
"L1K6-11C",1291872
"L1KX-WLG",1291873
"LH16-K64",1291874
"LH16-KVG",1291875
"MHKV-NZ1",1291876
"M1NT-D54",1291877
"G96G-M8V",1291878
